id,display_name,typst_family,style,origin,license,famous_use
georgia,Georgia,Georgia,Serif,Microsoft/Monotype,System,"The Economist, academic publishing"
palatino,Palatino Linotype,Palatino Linotype,Serif,Hermann Zapf / Linotype,System,"Many LaTeX documents, academic press"
garamond,EB Garamond,EB Garamond,Serif,Claude Garamond (revival),OFL,"Classic book typography, Penguin Books editions"
baskerville,Libre Baskerville,Libre Baskerville,Serif,John Baskerville (revival),OFL,"Academic reports, Google Books"
merriweather,Merriweather,Merriweather,Serif,Sorkin Type,OFL,"Medium.com, digital long-form reading"
crimson,Crimson Pro,Crimson Pro,Serif,Jacques Le Bailly,OFL,"Academic journals, literary publications"
spectral,Spectral,Spectral,Serif,Production Type,OFL,"Google Fonts, digital readability studies"
lato,Lato,Lato,Sans-Serif,Lukasz Dziedzic,OFL,"Government reports, UN documents"
source-sans,Source Sans 3,Source Sans 3,Sans-Serif,Adobe,OFL,"Adobe Creative Suite, official documentation"
fira-sans,Fira Sans,Fira Sans,Sans-Serif,Mozilla / Carrois,OFL,"Mozilla, open-source technical docs"
ibm-plex,IBM Plex Sans,IBM Plex Sans,Sans-Serif,IBM,OFL,"IBM annual reports, IBM Cloud documentation"
montserrat,Montserrat,Montserrat,Sans-Serif,Julieta Ulanovsky,OFL,"Modern branding, startup pitch decks"
roboto,Roboto,Roboto,Sans-Serif,Google,Apache 2.0,"Google Material Design, Android reports"
inter,Inter,Inter,Sans-Serif,Rasmus Andersson,OFL,"Linear, Vercel, modern SaaS dashboards"
